,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,34.5654,33.4544,33.1891,34.5654,9.8442,15.1033,10.2812,15.1405,1.027,0.201
HOS_mlp,64.3797,64.014,64.434,64.3797,0.1683,1.2483,0.2525,1.3388,1.1741,0.201
SCM_mlp,52.8292,51.9728,52.3836,52.8292,0.6042,1.3258,0.8458,1.6958,0.8941,0.201
FOURIER_svm,33.7389,30.8148,31.5215,33.7389,8.3,21.71,8.4175,20.6035,10.8823,0.201
HOS_svm,54.4879,52.5247,57.1292,54.4879,0.4367,1.69,0.655,2.2535,8.5528,0.201
SCM_svm,46.6467,43.9686,43.7249,46.6467,1.1767,1.1425,1.372,1.3412,9.2695,0.201
FOURIER_knn,24.7522,23.9789,24.5887,24.7522,9.7775,24.0408,8.356,24.0412,28.5249,0.201
HOS_knn,43.0958,42.8527,44.3784,43.0958,2.15,3.6825,3.0235,5.0888,19.4631,0.201
SCM_knn,43.0964,42.8633,43.3114,43.0964,2.0508,3.1525,2.6322,3.8592,19.5199,0.201
FOURIER_naive_bayes,24.0038,22.1307,23.8269,24.0038,11.795,19.5325,9.144,18.1797,0.5301,0.201
HOS_naive_bayes,35.3953,31.6897,33.0438,35.3953,3.3258,12.25,4.011,13.9895,0.4315,0.201
SCM_naive_bayes,29.0533,28.8053,35.736,29.0533,10.9208,1.4133,13.438,2.0458,0.4426,0.201
