,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,0.8715,1.1287,2.3707,0.8715,0.5042,0.115,0.877,0.2468,0.0063,0.0
HOS_mlp,0.8715,1.1287,2.3707,0.8715,0.5042,0.115,0.877,0.2468,0.0063,0.0
SCM_mlp,0.8715,1.1287,2.3707,0.8715,0.5042,0.115,0.877,0.2468,0.0063,0.0
FOURIER_svm,0.8715,1.1287,2.3707,0.8715,0.5042,0.115,0.877,0.2468,0.0063,0.0
HOS_svm,0.8715,1.1287,2.3707,0.8715,0.5042,0.115,0.877,0.2468,0.0063,0.0
SCM_svm,0.8715,1.1287,2.3707,0.8715,0.5042,0.115,0.877,0.2468,0.0063,0.0
FOURIER_knn,0.8715,1.1287,2.3707,0.8715,0.5042,0.115,0.877,0.2468,0.0063,0.0
HOS_knn,0.8715,1.1287,2.3707,0.8715,0.5042,0.115,0.877,0.2468,0.0063,0.0
SCM_knn,0.8715,1.1287,2.3707,0.8715,0.5042,0.115,0.877,0.2468,0.0063,0.0
FOURIER_naive_bayes,0.8715,1.1287,2.3707,0.8715,0.5042,0.115,0.877,0.2468,0.0063,0.0
HOS_naive_bayes,0.8715,1.1287,2.3707,0.8715,0.5042,0.115,0.877,0.2468,0.0063,0.0
SCM_naive_bayes,0.8715,1.1287,2.3707,0.8715,0.5042,0.115,0.877,0.2468,0.0063,0.0
