,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,0.1456,1.7046,1.5402,0.1456,1.165,8.6017,0.746,7.8175,0.0726,0.0
HOS_mlp,0.1456,1.7046,1.5402,0.1456,1.165,8.6017,0.746,7.8175,0.0726,0.0
SCM_mlp,0.1456,1.7046,1.5402,0.1456,1.165,8.6017,0.746,7.8175,0.0726,0.0
FOURIER_svm,0.1456,1.7046,1.5402,0.1456,1.165,8.6017,0.746,7.8175,0.0726,0.0
HOS_svm,0.1456,1.7046,1.5402,0.1456,1.165,8.6017,0.746,7.8175,0.0726,0.0
SCM_svm,0.1456,1.7046,1.5402,0.1456,1.165,8.6017,0.746,7.8175,0.0726,0.0
FOURIER_knn,0.1456,1.7046,1.5402,0.1456,1.165,8.6017,0.746,7.8175,0.0726,0.0
HOS_knn,0.1456,1.7046,1.5402,0.1456,1.165,8.6017,0.746,7.8175,0.0726,0.0
SCM_knn,0.1456,1.7046,1.5402,0.1456,1.165,8.6017,0.746,7.8175,0.0726,0.0
FOURIER_naive_bayes,0.1456,1.7046,1.5402,0.1456,1.165,8.6017,0.746,7.8175,0.0726,0.0
HOS_naive_bayes,0.1456,1.7046,1.5402,0.1456,1.165,8.6017,0.746,7.8175,0.0726,0.0
SCM_naive_bayes,0.1456,1.7046,1.5402,0.1456,1.165,8.6017,0.746,7.8175,0.0726,0.0
